Source,Target,Type,Id,Label,timeset,Weight,1,2,3,5,6
Denmark,Albania,Undirected,368,,,3,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",2
Denmark,San Marino,Undirected,367,,,1,+,"1939  ","1945  ","World War II  ",0
Denmark,Peru,Undirected,366,,,1,+,"1939  ","1945  ","World War II  ",0
Denmark,Liberia,Undirected,365,,,1,+,"1939  ","1945  ","World War II  ",0
Denmark,Colombia,Undirected,361,,,2,+,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",1
Denmark,Bolivia,Undirected,360,,,1,+,"1939  ","1945  ","World War II  ",0
Denmark,Ethiopia,Undirected,357,,,3,+,"2002  ","Ongoing  ","Operation Enduring Freedom – Horn of Africa  ",2
Denmark,Brazil,Undirected,356,,,1,+,"1939  ","1945  ","World War II  ",0
Denmark,Mexico,Undirected,355,,,1,+,"1939  ","1945  ","World War II  ",0
Denmark,Philippines,Undirected,353,,,2,+,"1950  ","1953  ","Korean War  Part of the Korean conflict  ",1
Denmark,Cuba,Undirected,352,,,1,+,"1939  ","1945  ","World War II  ",0
Denmark,Guatemala,Undirected,351,,,1,+,"1939  ","1945  ","World War II  ",0
Denmark,United States,Undirected,345,,,6,+,"2011  ","2011  ","Libyan Civil War (2011)  ",5
Denmark,Nicaragua,Undirected,344,,,1,+,"1939  ","1945  ","World War II  ",0
Denmark,Honduras,Undirected,343,,,1,+,"1939  ","1945  ","World War II  ",0
Denmark,Haiti,Undirected,342,,,1,+,"1939  ","1945  ","World War II  ",0
Denmark,El Salvador,Undirected,339,,,3,+,"2002  ","Ongoing  ","Taliban insurgency Part of the War in Afghanistan (2001–2014), War in Afghanistan (1978–present), War in Afghanistan (2015–present) and War on Terrorism  ",2
Denmark,Dominica,Undirected,338,,,1,+,"1939  ","1945  ","World War II  ",0
Denmark,Costa Rica,Undirected,337,,,1,+,"1939  ","1945  ","World War II  ",0
Denmark,Panama,Undirected,336,,,1,+,"1939  ","1945  ","World War II  ",0
Denmark,Greece,Undirected,328,,,6,+,"2011  ","2011  ","Libyan Civil War (2011)  ",5
