SourceID,TargetID,relation,year_start,year_end
Sweden,Slovakia,+,2002,Ongoing
Sweden,Slovenia,+,2001,Ongoing
Sweden,Slovenia,+,2002,Ongoing
Sweden,South Korea,+,2001,Ongoing
Sweden,South Korea,+,2002,Ongoing
Sweden,Switzerland,+,2001,Ongoing
Sweden,Switzerland,+,2002,Ongoing
Sweden,Tonga,+,2001,Ongoing
Sweden,Tonga,+,2002,Ongoing
Sweden,Turkey,+,2001,Ongoing
Sweden,Turkey,+,2001,Ongoing
Sweden,Turkey,+,2002,Ongoing
Sweden,Turkey,+,2002,Ongoing
Sweden,Ukraine,+,2001,Ongoing
Sweden,Ukraine,+,2002,Ongoing
Sweden,United Arab Emirates,+,2001,Ongoing
Sweden,United Arab Emirates,+,2002,Ongoing
Sweden,Pakistan,-,2002,Ongoing
Sweden,Iran,-,2002,Ongoing
Sweden,Afghanistan,+,2002,Ongoing
Denmark,Nazi Germany,-,1939,1945
Denmark,Kingdom of Italy,-,1939,1945
Denmark,Kingdom of Italy,+,1939,1945
Denmark,Hungary,-,1939,1945
Denmark,Hungary,-,1950,1953
Denmark,Hungary,+,2001,Ongoing
Denmark,Hungary,+,2002,Ongoing
Denmark,Empire of Japan,-,1939,1945
Denmark,Bulgaria,-,1939,1945
Denmark,Bulgaria,+,1939,1945
Denmark,Bulgaria,-,1950,1953
Denmark,Bulgaria,+,2001,Ongoing
Denmark,Bulgaria,+,2002,Ongoing
Denmark,Bulgaria,+,2011,2011
Denmark,Slovakia,-,1939,1945
Denmark,Slovakia,+,2001,Ongoing
Denmark,Slovakia,+,2002,Ongoing
Denmark,Finland,-,1939,1945
Denmark,Finland,+,2001,Ongoing
Denmark,Finland,+,2002,Ongoing
Denmark,Thailand,-,1939,1945
Denmark,Thailand,+,1950,1953
Denmark,Thailand,+,2002,Ongoing
Denmark,Poland,+,1939,1945
Denmark,Poland,-,1950,1953
Denmark,Poland,+,2001,Ongoing
Denmark,Poland,+,2002,Ongoing
Denmark,Australia,+,1939,1945
Denmark,Australia,+,1950,1953
Denmark,Australia,+,2001,Ongoing
Denmark,Australia,+,2001,Ongoing
Denmark,Australia,+,2002,Ongoing
Denmark,Australia,+,2002,Ongoing
Denmark,Australia,+,2002,Ongoing
Denmark,France,+,1939,1945
Denmark,France,+,1950,1953
Denmark,France,+,2001,Ongoing
Denmark,France,+,2002,Ongoing
Denmark,France,+,2002,Ongoing
Denmark,France,+,2011,2011
Denmark,New Zealand,+,1939,1945
Denmark,New Zealand,+,1950,1953
Denmark,New Zealand,+,2001,Ongoing
Denmark,New Zealand,+,2002,Ongoing
Denmark,New Zealand,+,2002,Ongoing
Denmark,British Empire,+,1939,1945
Denmark,Canada,+,1939,1945
Denmark,Canada,+,1950,1953
Denmark,Canada,+,2001,Ongoing
Denmark,Canada,+,2002,Ongoing
Denmark,Canada,+,2002,Ongoing
Denmark,Canada,+,2011,2011
Denmark,Norway,+,1939,1945
Denmark,Norway,+,1950,1953
Denmark,Norway,+,2001,Ongoing
Denmark,Norway,+,2002,Ongoing
Denmark,Norway,+,2011,2011
Denmark,Belgium,+,1939,1945
Denmark,Belgium,+,1950,1953
Denmark,Belgium,+,2001,Ongoing
Denmark,Belgium,+,2002,Ongoing
Denmark,Belgium,+,2002,Ongoing
Denmark,Belgium,+,2011,2011
Denmark,Luxembourg,+,1939,1945
Denmark,Luxembourg,+,1950,1953
Denmark,Luxembourg,+,2001,Ongoing
Denmark,Luxembourg,+,2002,Ongoing
Denmark,Soviet Union,+,1939,1945
Denmark,Soviet Union,-,1950,1953
Denmark,Panama,+,1939,1945
Denmark,Costa Rica,+,1939,1945
Denmark,Dominican Republic,+,1939,1945
Denmark,El Salvador,+,1939,1945
Denmark,El Salvador,+,2001,Ongoing
Denmark,El Salvador,+,2002,Ongoing
Denmark,Haiti,+,1939,1945
Denmark,Honduras,+,1939,1945
Denmark,Nicaragua,+,1939,1945
Denmark,United States,+,1939,1945
Denmark,United States,+,1950,1953
Denmark,United States,+,2001,Ongoing
Denmark,United States,+,2002,Ongoing
Denmark,United States,+,2002,Ongoing
Denmark,United States,+,2011,2011
Denmark,Guatemala,+,1939,1945
Denmark,Cuba,+,1939,1945
Denmark,Philippines,+,1939,1945
Denmark,Philippines,+,1950,1953
Denmark,Mexico,+,1939,1945
Denmark,Brazil,+,1939,1945
Denmark,Ethiopia,+,1939,1945
Denmark,Ethiopia,+,1950,1953
Denmark,Ethiopia,+,2002,Ongoing
Denmark,Iraq,+,1939,1945
Denmark,Iraq,-,2003,2011
Denmark,Bolivia,+,1939,1945
Denmark,Colombia,+,1939,1945
Denmark,Colombia,+,1950,1953
Denmark,Iran,+,1939,1945
Denmark,Iran,-,2002,Ongoing
Denmark,Liberia,+,1939,1945
Denmark,Peru,+,1939,1945
Denmark,Albania,+,1939,1945
Denmark,Albania,+,2001,Ongoing
Denmark,Albania,+,2002,Ongoing
Denmark,Ecuador,+,1939,1945
Denmark,Paraguay,+,1939,1945
Denmark,Uruguay,+,1939,1945
Denmark,Venezuela,+,1939,1945
Denmark,Turkey,+,1939,1945
Denmark,Turkey,+,1950,1953
Denmark,Turkey,+,2001,Ongoing
Denmark,Turkey,+,2001,Ongoing
Denmark,Turkey,+,2002,Ongoing
Denmark,Turkey,+,2002,Ongoing
Denmark,Turkey,+,2002,Ongoing
Denmark,Turkey,+,2011,2011
Denmark,Egypt,+,1939,1945
Denmark,Lebanon,+,1939,1945
Denmark,Syria,+,1939,1945
Denmark,Saudi Arabia,+,1939,1945
Denmark,Argentina,+,1939,1945
Denmark,North Korea,-,1950,1953
Denmark,Romania,-,1950,1953
Denmark,Romania,+,2001,Ongoing
Denmark,Romania,+,2001,Ongoing
Denmark,Romania,+,2002,Ongoing
Denmark,Romania,+,2002,Ongoing
Denmark,Romania,+,2011,2011
Denmark,South Korea,+,1950,1953
