id_candidate_seq	id_candidate_num	cat_candidate_name	cat_state	cat_party	cat_coalition	cat_composition	cat_eletion_result	num_turn	num_votes	cat_political_office
80000000485	50	CAMILA COSTA VALADÃO	ES	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	21044	Governador
90000000002	27	ALEXANDRE SILVA DE MAGALHÃES	GO	PSDC	PARTIDO ISOLADO	PSDC	NÃO ELEITO	1	5105	Governador
90000000024	40	VANDERLAN VIEIRA CARDOSO	GO	PSB	PARTICIPAÇÃO POPULAR	PSB / PSC / PRP	NÃO ELEITO	1	474090	Governador
90000000316	13	ANTÔNIO ROBERTO OTONI GOMIDE	GO	PT	PARTIDO ISOLADO	PT	NÃO ELEITO	1	0	Governador
90000000510	50	WESLEI GARCIA DE PAULO	GO	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	10522	Governador
90000000608	15	IRIS REZENDE MACHADO	GO	PMDB	AMOR POR GOIAS	PMDB / DEM / SD / PC do B / PRTB / PTN / PPL	NÃO ELEITO	1	898645	Governador
90000000608	15	IRIS REZENDE MACHADO	GO	PMDB	AMOR POR GOIAS	PMDB / DEM / SD / PC do B / PRTB / PTN / PPL	NÃO ELEITO	2	1297592	Governador
90000000637	45	MARCONI FERREIRA PERILLO JUNIOR	GO	PSDB	GARANTIA DE UM FUTURO MELHOR PARA GOIÁS	PRB / PP / PDT / PTB / PSL / PR / PPS / PHS / PMN / PTC / PV / PSDB / PEN / PSD / PT do B / PROS	ELEITO	1	1451330	Governador
90000000637	45	MARCONI FERREIRA PERILLO JUNIOR	GO	PSDB	GARANTIA DE UM FUTURO MELHOR PARA GOIÁS	PRB / PP / PDT / PTB / PSL / PR / PPS / PHS / PMN / PTC / PV / PSDB / PEN / PSD / PT do B / PROS	ELEITO	2	1750977	Governador
100000000001	16	SAULO COSTA ARCANGELI	MA	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	27304	Governador
100000000014	65	FLAVIO DINO DE CASTRO E COSTA	MA	PC do B	TODOS PELO MARANHÃO	PP / SD / PROS / PSDB / PC do B / PSB / PDT / PTC / PPS	ELEITO	1	1877064	Governador
100000000200	50	LUÍS ANTONIO CÂMARA PEDROSA	MA	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	33749	Governador
100000000376	15	EDISON LOBÃO FILHO	MA	PMDB	PRA FRENTE MARANHÃO	PMDB / PSL / PEN / PSDC / PRP / PTN / PMN / PSC / PHS / PRTB / PR / PRB / DEM / PSD / PV / PT / PTB / PT do B	NÃO ELEITO	1	995619	Governador
100000000534	21	JOSIVALDO CORREA SILVA	MA	PCB	PARTIDO ISOLADO	PCB	NÃO ELEITO	1	3574	Governador
110000000001	12	JOSÉ PEDRO GONÇALVES TAQUES	MT	PDT	CORAGEM E ATITUDE PRA MUDAR	PDT / PP / DEM / PSDB / PSB / PPS / PV / PTB / PSDC / PSC / PRP / PSL / PRB	ELEITO	1	833788	Governador
110000000027	50	JOSÉ ROBERTO DE FREITAS CAVALCANTE	MT	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	5570	Governador
110000000176	31	JOSE MARCONDES DOS SANTOS NETO	MT	PHS	MOBILIZAR E HUMANIZAR	PHS / PMN	NÃO ELEITO	1	0	Governador
110000000291	13	LÚDIO FRANK MENDES CABRAL	MT	PT	AMOR A NOSSA GENTE	PT / PMDB / PROS / PR / PC do B	NÃO ELEITO	1	472507	Governador
110000000582	55	JANETE GOMES RIVA	MT	PSD	VIVA MATO GROSSO	PSD / PTC / PTN / PEN / PRTB / SD	NÃO ELEITO	1	144440	Governador
120000000001	16	MARCO ANTONIO OLIVA MONJE	MS	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	2035	Governador
120000000022	45	REINALDO AZAMBUJA SILVA	MS	PSDB	NOVO TEMPO	PSDB / DEM / PSD / SD / PPS / PMN	2º TURNO	1	516744	Governador
120000000022	45	REINALDO AZAMBUJA SILVA	MS	PSDB	NOVO TEMPO	PSDB / DEM / PSD / SD / PPS / PMN	ELEITO	2	741516	Governador
120000000282	15	NELSON TRAD FILHO	MS	PMDB	MS CADA VEZ MELHOR	PMDB / PSB / PT do B / PSC / PHS / PRB / PRTB / PTN / PEN	NÃO ELEITO	1	217093	Governador
120000000283	13	DELCÍDIO DO AMARAL GOMEZ	MS	PT	MATO GROSSO DO SUL COM A FORÇA DE TODOS	PDT / PT / PSL / PR / PSDC / PV / PROS / PC do B / PTB / PTC / PPL / PRP	2º TURNO	1	567331	Governador
120000000283	13	DELCÍDIO DO AMARAL GOMEZ	MS	PT	MATO GROSSO DO SUL COM A FORÇA DE TODOS	PDT / PT / PSL / PR / PSDC / PV / PROS / PC do B / PTB / PTC / PPL / PRP	NÃO ELEITO	2	598461	Governador
120000000439	11	EVANDER JOSE VENDRAMINI DURAN	MS	PP	PARTIDO ISOLADO	PP	NÃO ELEITO	1	10823	Governador
120000000486	50	SIDELVAR APARECIDO DE MELO	MS	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	7823	Governador
130000000198	45	JOÃO PIMENTA DA VEIGA FILHO	MG	PSDB	TODOS POR MINAS	PSDB / PP / DEM / PSD / PTB / PPS / PV / PDT / PR / PMN / PSC / PSL / PTC / SD	NÃO ELEITO	1	4240706	Governador
130000000299	50	FIDÉLIS OLIVEIRA ALCANTARA	MG	PSOL	FRENTE DE ESQUERDA SOCIALISTA	PSTU / PSOL	NÃO ELEITO	1	67785	Governador
130000000419	29	CLEIDE DONÁRIA DE OLIVEIRA	MG	PCO	PARTIDO ISOLADO	PCO	NÃO ELEITO	1	7590	Governador
130000000530	27	EDUARDO FERREIRA DE SOUZA	MG	PSDC	PARTIDO ISOLADO	PSDC	NÃO ELEITO	1	23017	Governador
130000000829	13	FERNANDO DAMATA PIMENTEL	MG	PT	MINAS PRA VOCÊ	PT / PMDB / PC do B / PROS / PRB	ELEITO	1	5362870	Governador
130000001176	40	RAIMUNDO TARCISIO DELGADO	MG	PSB	MINAS QUER MUDANÇA	PSB / PPL / PRTB	NÃO ELEITO	1	395039	Governador
130000001766	21	TULIO CESAR DIAS LOPES	MG	PCB	PARTIDO ISOLADO	PCB	NÃO ELEITO	1	26023	Governador
140000000016	43	JOSÉ CARLOS LIMA DA COSTA	PA	PV	PARTIDO ISOLADO	PV	NÃO ELEITO	1	44247	Governador
140000000089	50	MARCO ANTÔNIO CARRERA FERREIRA	PA	PSOL	FRENTE DE ESQUERDA - MUDANÇA PRA VALER	PSOL / PSTU	NÃO ELEITO	1	63078	Governador
140000000468	15	HELDER ZAHLUTH BARBALHO	PA	PMDB	TODOS PELO PARÁ	PMDB / PT / DEM / PR / PDT / PROS / PHS / PC do B / PSL / PPL / PTN	2º TURNO	1	1795992	Governador
140000000468	15	HELDER ZAHLUTH BARBALHO	PA	PMDB	TODOS PELO PARÁ	PMDB / PT / DEM / PR / PDT / PROS / PHS / PC do B / PSL / PPL / PTN	NÃO ELEITO	2	1721479	Governador
140000000828	45	SIMÃO ROBISON OLIVEIRA JATENE	PA	PSDB	JUNTOS COM O POVO	PSDB / PSD / PSB / PP / SD / PRB / PSC / PTB / PPS / PEN / PMN / PTC / PSDC / PT do B / PRP	2º TURNO	1	1745442	Governador
140000000828	45	SIMÃO ROBISON OLIVEIRA JATENE	PA	PSDB	JUNTOS COM O POVO	PSDB / PSD / PSB / PP / SD / PRB / PSC / PTB / PPS / PEN / PMN / PTC / PSDC / PT do B / PRP	ELEITO	2	1858869	Governador
140000001017	28	ELTON DE BARROS BRAGA	PA	PRTB	PARTIDO ISOLADO	PRTB	NÃO ELEITO	1	14712	Governador
150000000010	50	TARCIO HOLANDA TEIXEIRA	PB	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	8849	Governador
150000000052	40	RICARDO VIEIRA COUTINHO	PB	PSB	A FORÇA DO TRABALHO	PSB / PT / PDT / DEM / PRTB / PRP / PV / PSL / PC do B / PHS / PPL	2º TURNO	1	937009	Governador
150000000052	40	RICARDO VIEIRA COUTINHO	PB	PSB	A FORÇA DO TRABALHO	PSB / PT / PDT / DEM / PRTB / PRP / PV / PSL / PC do B / PHS / PPL	ELEITO	2	1125956	Governador
150000000156	15	VITAL DO RÊGO FILHO	PB	PMDB	RENOVAÇÃO DE VERDADE	PMDB	NÃO ELEITO	1	106162	Governador
150000000331	16	ANTONIO FERREIRA LIMA NETO	PB	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	2570	Governador
150000000404	90	FABIO RODRIGUES DE OLIVEIR	PB	PROS	PARTIDO ISOLADO	PROS	NÃO ELEITO	1	14910	Governador
150000000407	45	CASSIO RODRIGUES DA CUNHA LIMA	PB	PSDB	A VONTADE DO POVO	PSDB / PEN / PR / PTB / PSD / SD / PMN / PPS / PT do B / PTN / PRB / PSDC / PSC / PP	2º TURNO	1	965397	Governador
150000000407	45	CASSIO RODRIGUES DA CUNHA LIMA	PB	PSDB	A VONTADE DO POVO	PSDB / PEN / PR / PTB / PSD / SD / PMN / PPS / PT do B / PTN / PRB / PSDC / PSC / PP	NÃO ELEITO	2	1014393	Governador
160000000002	50	BERNARDO SEIXAS PILOTTO	PR	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	35327	Governador
160000000324	15	ROBERTO REQUIAO DE MELLO E SILVA	PR	PMDB	PARANÁ COM GOVERNO	PMDB / PV / PPL	NÃO ELEITO	1	1634316	Governador
160000000558	45	CARLOS ALBERTO RICHA	PR	PSDB	TODOS PELO PARANÁ	PSDB / PROS / DEM / PSB / PSD / PTB / PP / PPS / PSC / PR / SD / PSL / PSDC / PMN / PHS / PEN / PT do B	ELEITO	1	3301322	Governador
160000000632	28	GEONISIO CESAR MARINHO	PR	PRTB	PARTIDO ISOLADO	PRTB	NÃO ELEITO	1	7303	Governador
160000000645	13	GLEISI HELENA HOFFMANN	PR	PT	PARANÁ OLHANDO PRA FRENTE	PT / PDT / PC do B / PRB / PTN	NÃO ELEITO	1	881857	Governador
160000001022	44	OGIER ALBERGE BUCHI	PR	PRP	PARTIDO ISOLADO	PRP	NÃO ELEITO	1	50446	Governador
160000001091	16	RODRIGO TOMAZINI DIAS	PR	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	5726	Governador
160000001250	36	TULIO MARCELO DENIG BANDEIRA	PR	PTC	PARTIDO ISOLADO	PTC	NÃO ELEITO	1	13700	Governador
170000000009	16	JAIR PEDRO DA SILVA	PE	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	5281	Governador
170000000020	21	MIGUEL ANACLETO DA SILVA JUNIOR	PE	PCB	PARTIDO ISOLADO	PCB	NÃO ELEITO	1	2892	Governador
170000000024	40	PAULO HENRIQUE SARAIVA CÂMARA	PE	PSB	FRENTE POPULAR DE PERNAMBUCO	PMDB / PC do B / PSB / PTC / PRP / PV / PTN / PR / PSD / PPS / PSDB / SD / PPL / DEM / PHS / PSDC / PROS / PP / PEN / PRTB / PSL	ELEITO	1	3009087	Governador
170000000451	50	JOSE GOMES DE SA NETO	PE	PSOL	MOBILIZAÇÃO POR PODER POPULAR	PSOL / PMN	NÃO ELEITO	1	27895	Governador
170000000598	14	ARMANDO DE QUEIROZ MONTEIRO NETO	PE	PTB	PERNAMBUCO VAI MAIS LONGE	PTB / PT / PSC / PDT / PRB / PT do B	NÃO ELEITO	1	1373237	Governador
180000000001	16	DANIEL VASCONCELOS SOLON	PI	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	6452	Governador
180000000013	20	FRANCISCO DE ASSIS MORAES SOUZA	PI	PSC	PARTIDO ISOLADO	PSC	NÃO ELEITO	1	25877	Governador
180000000034	54	NILO CARVALHO NETO	PI	PPL	PARTIDO ISOLADO	PPL	NÃO ELEITO	1	4217	Governador
180000000044	15	ANTONIO JOSE DE MORAES SOUZA FILHO	PI	PMDB	PIAUÍ NO CORAÇÃO	PMDB / PSDB / PSB / PRB / PDT / PSL / PTN / PPS / DEM / PSDC / PMN / PTC / PSD / PC do B / PT do B / PV / PEN	NÃO ELEITO	1	555201	Governador
180000000138	29	MARIA DE LOURDES SOARES MELO	PI	PCO	PARTIDO ISOLADO	PCO	NÃO ELEITO	1	2180	Governador
180000000191	50	MAKLANDEL AQUINO MATOS	PI	PSOL	O PODER POPULAR NA CONSTRUÇÃO DO SOCIALISMO	PSOL / PCB	NÃO ELEITO	1	22480	Governador
180000000212	13	JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS	PI	PT	A VITÓRIA COM A FORÇA DO POVO	PT / PP / PTB / PHS / PR / PROS / PRP / SD	ELEITO	1	1053342	Governador
190000000100	16	DAYSE OLIVEIRA GOMES	RJ	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	33442	Governador
190000000136	21	NEY DE SOUZA NUNES	RJ	PCB	PARTIDO ISOLADO	PCB	NÃO ELEITO	1	8950	Governador
190000000409	50	TARCISIO MOTTA DE CARVALHO	RJ	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	712734	Governador
190000000585	22	ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA	RJ	PR	ALIANÇA REPUBLICANA E TRABALHISTA	PR / PT do B / PROS	NÃO ELEITO	1	1576511	Governador
190000000673	13	LUIZ LINDBERGH FARIAS FILHO	RJ	PT	COLIGAÇÃO FRENTE POPULAR	PT / PV / PSB / PC do B	NÃO ELEITO	1	798897	Governador
190000001406	10	MARCELO BEZERRA  CRIVELLA	RJ	PRB	PARTIDO ISOLADO	PRB	2º TURNO	1	1619165	Governador
190000001406	10	MARCELO BEZERRA  CRIVELLA	RJ	PRB	PARTIDO ISOLADO	PRB	NÃO ELEITO	2	3442713	Governador
190000001649	15	LUIZ FERNANDO DE SOUZA	RJ	PMDB	O RIO EM 1º LUGAR	PMDB / PP / PSC / PTB / PSL / PPS / PTN / DEM / PSDC / PRTB / PHS / PMN / PTC / PRP / PSDB / PEN / PSD / SD	2º TURNO	1	3242513	Governador
190000001649	15	LUIZ FERNANDO DE SOUZA	RJ	PMDB	O RIO EM 1º LUGAR	PMDB / PP / PSC / PTB / PSL / PPS / PTN / DEM / PSDC / PRTB / PHS / PMN / PTC / PRP / PSDB / PEN / PSD / SD	ELEITO	2	4343298	Governador
200000000001	16	VERONICA SIMONE DUTRA VERAS	RN	PSTU	PARTIDO ISOLADO	PSTU	NÃO ELEITO	1	14549	Governador
200000000016	17	ARAKEN BARBOSA DE FARIAS FILHO	RN	PSL	PARTIDO ISOLADO	PSL	NÃO ELEITO	1	13396	Governador
200000000083	50	ROBÉRIO PAULINO RODRIGUES	RN	PSOL	PARTIDO ISOLADO	PSOL	NÃO ELEITO	1	129616	Governador
200000000127	15	HENRIQUE EDUARDO LYRA ALVES	RN	PMDB	UNIÃO PELA MUDANÇA	PMDB / PR / PSB / PROS / PDT / SD / PSC / PTB / PPS / PHS / PSDB / PSDC / PRB / PTN / PV / PMN / PRP	2º TURNO	1	702196	Governador
200000000127	15	HENRIQUE EDUARDO LYRA ALVES	RN	PMDB	UNIÃO PELA MUDANÇA	PMDB / PR / PSB / PROS / PDT / SD / PSC / PTB / PPS / PHS / PSDB / PSDC / PRB / PTN / PV / PMN / PRP	NÃO ELEITO	2	734801	Governador
200000000242	55	ROBINSON MESQUITA DE FARIA	RN	PSD	LIDERADOS PELO POVO	PSD / PT / PC do B / PT do B / PP / PEN / PRTB / PTC	2º TURNO	1	623614	Governador
200000000242	55	ROBINSON MESQUITA DE FARIA	RN	PSD	LIDERADOS PELO POVO	PSD / PT / PC do B / PT do B / PP / PEN / PRTB / PTC	ELEITO	2	877268	Governador
210000000003	13	TARSO FERNANDO HERZ GENRO	RS	PT	UNIDADE POPULAR PELO RIO GRANDE	PT / PTC / PC do B / PROS / PPL / PTB / PR	2º TURNO	1	2005743	Governador
210000000003	13	TARSO FERNANDO HERZ GENRO	RS	PT	UNIDADE POPULAR PELO RIO GRANDE	PT / PTC / PC do B / PROS / PPL / PTB / PR	NÃO ELEITO	2	2445664	Governador
210000000059	50	CARLOS ROBERTO DE SOUZA ROBAINA	RS	PSOL	FRENTE DE ESQUERDA - PSOL / PSTU	PSOL / PSTU	NÃO ELEITO	1	47138	Governador
210000000083	15	JOSÉ IVO SARTORI	RS	PMDB	O NOVO CAMINHO PARA O RIO GRANDE	PMDB / PSD / PPS / PSB / PHS / PT do B / PSL / PSDC	2º TURNO	1	2487889	Governador
210000000083	15	JOSÉ IVO SARTORI	RS	PMDB	O NOVO CAMINHO PARA O RIO GRANDE	PMDB / PSD / PPS / PSB / PHS / PT do B / PSL / PSDC	ELEITO	2	3859611	Governador
210000000282	12	CARLOS EDUARDO VIEIRA DA CUNHA	RS	PDT	O RIO GRANDE MERECE MAIS	PDT / PSC / DEM / PV / PEN	NÃO ELEITO	1	263062	Governador
